PRIMARY_DIAGNOSIS|SECONDARY_DIAGNOSIS|PRIMARY_DIAGNOSIS_DESC|PRIMARY_BLOCKS_OF_CATEGORIES|SECONDARY_DIAGNOSIS_DESC|SECONDARY_BLOCKS_OF_CATEGORIES|COUNT(DISTINCTCLAIMS_ID)
L50.9|R50.9|urticaria|urticaria and erythema|fever|general symptoms and signs|18
M13.9|R50.9|arthritis- unspecified|arthropathies|fever|general symptoms and signs|10
M25.5|R50.9|pain in joint (arthralgia)|arthropathies|fever|general symptoms and signs|11
M54.2|R50.9|cervicalgia|dorsopathies|fever|general symptoms and signs|7
M54.5|R50.9|low back pain (nyeri punggung)|dorsopathies|fever|general symptoms and signs|37
M79.1|R50.9|myalgia (nyeri otot|soft tissue disorders|fever|general symptoms and signs|75
M79.19|R50.9|myalgia|soft tissue disorders|fever|general symptoms and signs|36
N30.9|R50.9|urinary tract infections |other diseases of urinary system|fever|general symptoms and signs|32
N39.0|R50.9|urinary tract infection- site not specified|other diseases of urinary system|fever|general symptoms and signs|67
R04.0|R50.9|epistaxis (mimisan)|symptoms and signs involving the circulatory and respiratory systems|fever|general symptoms and signs|28
R05|R50.9|cough (batuk)|symptoms and signs involving the circulatory and respiratory systems|fever|general symptoms and signs|70
R07.4|R50.9|chest pain|symptoms and signs involving the circulatory and respiratory systems|fever|general symptoms and signs|9
R10|R50.9|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|fever|general symptoms and signs|54
R10.0|R50.9|acute abdomen|symptoms and signs involving the digestive system and abdomen|fever|general symptoms and signs|62
R10.4|R50.9|other and unspecified abdominal pain|symptoms and signs involving the digestive system and abdomen|fever|general symptoms and signs|23
R11|R50.9|nausea and vomiting (mual dan muntah)|symptoms and signs involving the digestive system and abdomen|fever|general symptoms and signs|479
R50.9|R50.9|fever|general symptoms and signs|fever|general symptoms and signs|21
R51|R50.9|headache ( cephalgia)|general symptoms and signs|fever|general symptoms and signs|299
R56.0|R50.9|febrile convulsions|general symptoms and signs|fever|general symptoms and signs|31
T14|R50.9|injury of unspecified body region|injuries to unspecified part of trunk, limb or body region|fever|general symptoms and signs|9
T78.4|R50.9|allergy|other and unspecified effects of external causes|fever|general symptoms and signs|8
Z24.0|R50.9|need immunization againts poliomyelitis (immunisasi polio)|persons with potential health hazards related to communicable diseases|fever|general symptoms and signs|11
Z34|R50.9|supervision of normal pregnancy|persons encountering health services in circumstances related to reproduction|fever|general symptoms and signs|9
A01.0|R50|typhoid fever |intestinal infectious diseases|fever of unknown origin|general symptoms and signs|17
A09|R50|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|fever of unknown origin|general symptoms and signs|79
A49|R50|bacterial infection of unspecified site|other bacterial diseases|fever of unknown origin|general symptoms and signs|10
A90|R50|dengue fever|arthropod-borne viral fevers and viral haemorrhagic fevers|fever of unknown origin|general symptoms and signs|13
A91|R50|dengue haemorrhagic fever (demam berdarah dengue)|arthropod-borne viral fevers and viral haemorrhagic fevers|fever of unknown origin|general symptoms and signs|12
B34|R50|viral infection of unspecified sites|other viral diseases|fever of unknown origin|general symptoms and signs|29
B34.9|R50|viral infection, unspecified|other viral diseases|fever of unknown origin|general symptoms and signs|10
J00|R50|acute nasopharyngitis (common cold)|acute upper respiratory infections|fever of unknown origin|general symptoms and signs|23
J02|R50|acute pharyngitis|acute upper respiratory infections|fever of unknown origin|general symptoms and signs|74
J03|R50|acute tonsilitis|acute upper respiratory infections|fever of unknown origin|general symptoms and signs|17
J06|R50|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|fever of unknown origin|general symptoms and signs|193
J06.9|R50|acute upper respiratory infection|acute upper respiratory infections|fever of unknown origin|general symptoms and signs|7
J18.0|R50|bronchopneumonia |influenza and pneumonia|fever of unknown origin|general symptoms and signs|10
J20|R50|acute bronchitis|other acute lower respiratory infections|fever of unknown origin|general symptoms and signs|10
K29.7|R50|gastritis|diseases of oesophagus, stomach and duodenum|fever of unknown origin|general symptoms and signs|11
K30|R50|dyspepsia|diseases of oesophagus, stomach and duodenum|fever of unknown origin|general symptoms and signs|44
M79.1|R50|myalgia (nyeri otot|soft tissue disorders|fever of unknown origin|general symptoms and signs|6
R10|R50|abdominal and pelvic pain|symptoms and signs involving the digestive system and abdomen|fever of unknown origin|general symptoms and signs|7
R11|R50|nausea and vomiting (mual dan muntah)|symptoms and signs involving the digestive system and abdomen|fever of unknown origin|general symptoms and signs|23
R50.9|R50|fever|general symptoms and signs|fever of unknown origin|general symptoms and signs|7
R51|R50|headache ( cephalgia)|general symptoms and signs|fever of unknown origin|general symptoms and signs|11
D24|N60.2|benign neoplasm of breast|benign neoplasms|fibroadenosis of breast/fam|disorders of breast|20
B16|K74|acute hepatitis b|viral hepatitis|fibrosis and cirrhosis of liver (cirrhosis hepatis)|diseases of liver|6
I84|K60|haemorrhoids (ambein)|diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|fissure and fistula of anal and rectal regions|other diseases of intestines|6
A09|R14|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|flatulence and related conditions (meteorismus)|symptoms and signs involving the digestive system and abdomen|8
J02|R14|acute pharyngitis|acute upper respiratory infections|flatulence and related conditions (meteorismus)|symptoms and signs involving the digestive system and abdomen|6
H60|T16|otitis externa|diseases of external ear|foreign body in ear|effects of foreign body entering through natural orifice|14
H61.2|T16|impacted cerumen (kotoran di telinga)|diseases of external ear|foreign body in ear|effects of foreign body entering through natural orifice|11
H10|T15|conjunctivitis (infeksi conjunctiva)|disorders of conjunctiva|foreign body on external eye (corpus alienum pada mata)|effects of foreign body entering through natural orifice|11
T14|S42.0|injury of unspecified body region|injuries to unspecified part of trunk, limb or body region|fracture of clavicle|injuries to the shoulder and upper arm|6
M54.5|S32.2|low back pain (nyeri punggung)|dorsopathies|fracture of coccyx|injuries to the abdomen, lower back, lumbar spine and pelvis|13
S82.1|S82.4|fracture of upper end of tibia|injuries to the knee and lower leg|fracture of fibula alone|injuries to the knee and lower leg|7
S82.2|S82.4|fracture of shaft of tibia|injuries to the knee and lower leg|fracture of fibula alone|injuries to the knee and lower leg|11
T14|S52.5|injury of unspecified body region|injuries to unspecified part of trunk, limb or body region|fracture of lower end of radius|injuries to the elbow and forearm|8
K02|S02.5|dental caries|diseases of oral cavity, salivary glands and jaws|fracture of tooth|injuries to the head|6
K04.1|S02.5|necrosis of pulp (pulpal ganggrene)|diseases of oral cavity, salivary glands and jaws|fracture of tooth|injuries to the head|9
K30|K25|dyspepsia|diseases of oesophagus, stomach and duodenum|gastric ulcer|diseases of oesophagus, stomach and duodenum|12
A01.0|K29.7|typhoid fever |intestinal infectious diseases|gastritis|diseases of oesophagus, stomach and duodenum|195
A01.1|K29.7|paratyphoid fever a|intestinal infectious diseases|gastritis|diseases of oesophagus, stomach and duodenum|6
A09|K29.7|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|gastritis|diseases of oesophagus, stomach and duodenum|604
A15.0|K29.7|tuberculosis of lung|tuberculosis|gastritis|diseases of oesophagus, stomach and duodenum|16
A49|K29.7|bacterial infection of unspecified site|other bacterial diseases|gastritis|diseases of oesophagus, stomach and duodenum|12
A88.1|K29.7|epidemic vertigo|viral infections of the central nervous system|gastritis|diseases of oesophagus, stomach and duodenum|48
A90|K29.7|dengue fever|arthropod-borne viral fevers and viral haemorrhagic fevers|gastritis|diseases of oesophagus, stomach and duodenum|37
A91|K29.7|dengue haemorrhagic fever (demam berdarah dengue)|arthropod-borne viral fevers and viral haemorrhagic fevers|gastritis|diseases of oesophagus, stomach and duodenum|54
B01|K29.7|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|gastritis|diseases of oesophagus, stomach and duodenum|18
B34|K29.7|viral infection of unspecified sites|other viral diseases|gastritis|diseases of oesophagus, stomach and duodenum|42
B34.9|K29.7|viral infection, unspecified|other viral diseases|gastritis|diseases of oesophagus, stomach and duodenum|53
D64|K29.7|other anaemias|aplastic and other anaemias|gastritis|diseases of oesophagus, stomach and duodenum|13
D64.9|K29.7|anaemia, unspecified|aplastic and other anaemias|gastritis|diseases of oesophagus, stomach and duodenum|8
E11|K29.7|non-insulin-dependent diabetes mellitus|diabetes mellitus|gastritis|diseases of oesophagus, stomach and duodenum|14
E13|K29.7|other specified diabetes mellitus|diabetes mellitus|gastritis|diseases of oesophagus, stomach and duodenum|39
E78.0|K29.7|pure hypercholesterolemia|metabolic disorders|gastritis|diseases of oesophagus, stomach and duodenum|18
E78.4|K29.7|other hyperlipidemia|metabolic disorders|gastritis|diseases of oesophagus, stomach and duodenum|22
E78.5|K29.7|hyperlipidaemia|metabolic disorders|gastritis|diseases of oesophagus, stomach and duodenum|65
G43|K29.7|migraine (nyeri kepala sebelah)|episodic and paroxysmal disorders|gastritis|diseases of oesophagus, stomach and duodenum|18
G43.9|K29.7|migraine|episodic and paroxysmal disorders|gastritis|diseases of oesophagus, stomach and duodenum|11
G44|K29.7|other headache syndromes (sindrom sakit kepala)|episodic and paroxysmal disorders|gastritis|diseases of oesophagus, stomach and duodenum|7
G44.2|K29.7|tension type headache|episodic and paroxysmal disorders|gastritis|diseases of oesophagus, stomach and duodenum|40
H10|K29.7|conjunctivitis (infeksi conjunctiva)|disorders of conjunctiva|gastritis|diseases of oesophagus, stomach and duodenum|11
H81.1|K29.7|benign paroxysmal vertigo|diseases of inner ear|gastritis|diseases of oesophagus, stomach and duodenum|20
H82|K29.7|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|gastritis|diseases of oesophagus, stomach and duodenum|152
I10|K29.7|essential (primary) hypertension|hypertensive diseases|gastritis|diseases of oesophagus, stomach and duodenum|95
I11.9|K29.7|hypertensive heart disease without (congestive) heart failure|hypertensive diseases|gastritis|diseases of oesophagus, stomach and duodenum|6
I15|K29.7|secondary hypertension|hypertensive diseases|gastritis|diseases of oesophagus, stomach and duodenum|81
I25.1|K29.7|coronary atrial diseases (cad)|ischaemic heart diseases|gastritis|diseases of oesophagus, stomach and duodenum|20
I84|K29.7|haemorrhoids (ambein)|diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|gastritis|diseases of oesophagus, stomach and duodenum|29
J00|K29.7|acute nasopharyngitis (common cold)|acute upper respiratory infections|gastritis|diseases of oesophagus, stomach and duodenum|218
J01|K29.7|acute sinusitis|acute upper respiratory infections|gastritis|diseases of oesophagus, stomach and duodenum|22
J02|K29.7|acute pharyngitis|acute upper respiratory infections|gastritis|diseases of oesophagus, stomach and duodenum|819
J02.9|K29.7|acute pharyngitis|acute upper respiratory infections|gastritis|diseases of oesophagus, stomach and duodenum|22
J03|K29.7|acute tonsilitis|acute upper respiratory infections|gastritis|diseases of oesophagus, stomach and duodenum|84
J04|K29.7|acute laryngitis and tracheitis|acute upper respiratory infections|gastritis|diseases of oesophagus, stomach and duodenum|6
